clip_idx,file,start,window,model_type,model_label,trial_name,stage,batch_size,code_num,best_val_loss,tokens,mse_all,mae_all,trans_rmse,trans_mae,rot_geod_deg_mean,rot_geod_deg_p95,root_geod_deg_mean,bodyhands_geod_deg_mean,pose_axisangle_mse,betas_mae,trans_vel_rmse,mpjpe_mm,mpjpe_pa_mm
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.023723142221570015,0.07551422715187073,0.0016427814261987805,0.001274817273952067,8.99612045288086,31.685609817504883,3.947615623474121,9.095109939575195,0.019267460331320763,0.18574738502502441,0.00033733321470208466,42.85906219482422,42.310482025146484
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.020217303186655045,0.06856922805309296,0.0015120923053473234,0.0011730853002518415,8.571125984191895,30.099031448364258,8.47285270690918,8.573053359985352,0.01864171400666237,0.13436491787433624,0.00039445009315386415,55.04106521606445,54.94477844238281
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.01907254382967949,0.06262964010238647,0.0012951685348525643,0.001024596276693046,8.21012020111084,32.463287353515625,2.3946287631988525,8.324150085449219,0.01990405097603798,0.07125262916088104,0.0002819971414282918,27.661012649536133,27.43044662475586
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.016092851758003235,0.07054264843463898,0.00226697139441967,0.001689368742518127,8.647139549255371,26.941909790039062,4.918147087097168,8.720256805419922,0.015768229961395264,0.11695091426372528,0.0005372653249651194,34.4386100769043,34.803871154785156
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,16,0.012128567323088646,0.05612022429704666,0.0009573744027875364,0.0007339560543186963,7.0821051597595215,24.234695434570312,3.1870718002319336,7.158479690551758,0.012471073307096958,0.07007161527872086,0.00021595272119157016,26.08218002319336,25.800199508666992
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.02433483675122261,0.07832729071378708,0.001603948650881648,0.0012343121925368905,9.271845817565918,29.894750595092773,4.5221710205078125,9.36497688293457,0.019678641110658646,0.18820443749427795,0.0003469286602921784,42.81675338745117,42.46857452392578
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.018561670556664467,0.06679870933294296,0.0014138179831206799,0.0010705373715609312,8.753249168395996,30.368947982788086,3.1663095951080322,8.862796783447266,0.01954774744808674,0.06823351234197617,0.0003949559759348631,33.734832763671875,33.63142395019531
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.02206231839954853,0.069849893450737,0.001271679881028831,0.0010127276182174683,8.95058822631836,35.74435806274414,2.1672370433807373,9.083595275878906,0.022510884329676628,0.10649542510509491,0.0002801124064717442,25.14839744567871,24.864925384521484
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.01910114660859108,0.07175174355506897,0.00228687422350049,0.0017117614625021815,8.65057373046875,27.00931739807129,2.4383435249328613,8.772381782531738,0.016506148502230644,0.16546908020973206,0.0005352519801817834,34.7585563659668,32.05036163330078
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,16,0.01316457986831665,0.058195993304252625,0.0010023295180872083,0.0007660386036150157,7.4498090744018555,27.124752044677734,3.685678005218506,7.52361536026001,0.013723179697990417,0.06148828938603401,0.00021564122289419174,27.27546501159668,27.116174697875977
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.027412451803684235,0.08224108815193176,0.0016598469810560346,0.0012912544189020991,9.681939125061035,29.780548095703125,7.385547637939453,9.72696590423584,0.020114894956350327,0.20464475452899933,0.00033971306402236223,52.478763580322266,52.04704666137695
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.020001860335469246,0.06864484399557114,0.0014101752312853932,0.001065170974470675,9.00899600982666,30.996788024902344,4.842024326324463,9.090702056884766,0.020962480455636978,0.07405965775251389,0.0003896919370163232,38.53916931152344,38.5234375
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.020186221227049828,0.0664249137043953,0.0012531863758340478,0.0009799535619094968,8.649791717529297,36.16675567626953,2.199624538421631,8.776265144348145,0.021156368777155876,0.0781993642449379,0.00028511759592220187,29.650236129760742,29.37505340576172
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.025273246690630913,0.08272121101617813,0.0024280508514493704,0.001813205424696207,9.60036563873291,32.03340530395508,3.2924773693084717,9.724050521850586,0.02033134177327156,0.2010631561279297,0.0005367595003917813,37.36758041381836,35.437625885009766
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,16,0.01326180063188076,0.0587843656539917,0.0009843697771430016,0.0007782524335198104,7.428965091705322,25.789199829101562,3.7729721069335938,7.500650882720947,0.013554181903600693,0.07930198311805725,0.00021840305998921394,32.32334518432617,32.04054260253906
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.024462714791297913,0.07661379873752594,0.001630506245419383,0.0012783441925421357,9.095340728759766,32.42112731933594,5.143256187438965,9.172832489013672,0.019561873748898506,0.1883750557899475,0.00034262341796420515,41.777645111083984,41.295658111572266
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.022520696744322777,0.07229636609554291,0.001453917589969933,0.0011247961083427072,9.298989295959473,31.21035385131836,4.740719795227051,9.388365745544434,0.022888561710715294,0.11166004091501236,0.00039271253626793623,39.30622863769531,39.2913703918457
3,23YW07EXh34_6-5-rgb_front.pkl,28,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.02579154074192047,0.07378828525543213,0.0012824339792132378,0.0009981193579733372,8.972235679626465,36.25709915161133,2.7369651794433594,9.094496726989746,0.024422798305749893,0.1691388338804245,0.0002994955575559288,27.19337272644043,26.638887405395508
4,F0CLgejV5_k_0-5-rgb_front.pkl,14,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.02205538935959339,0.08016201108694077,0.0024171401746571064,0.0017957426607608795,9.843610763549805,31.744827270507812,3.7883284091949463,9.96234130859375,0.0215523112565279,0.13483448326587677,0.0005314993904903531,38.471221923828125,37.092647552490234
5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,64,trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,16,0.013272079639136791,0.05795874819159508,0.000955245632212609,0.0007217737729661167,7.4507598876953125,26.489192962646484,4.141180038452148,7.515653610229492,0.013943567872047424,0.062071871012449265,0.00022739471751265228,33.24864196777344,33.02558517456055
1,doMosV-zfCI_22-2-rgb_front.pkl,38,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.02570527046918869,0.08289680629968643,0.0017857224447652698,0.0013975035399198532,9.584060668945312,31.05716896057129,3.104011058807373,9.71112060546875,0.020313113927841187,0.2260802537202835,0.00035205140011385083,46.29182434082031,45.58075714111328
2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,64,trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,16,0.02160351164638996,0.0717817172408104,0.0015444160671904683,0.0011666897917166352,9.16006088256836,31.041580200195312,2.9784793853759766,9.281268119812012,0.021774305030703545,0.11570260673761368,0.000386256433557719,36.451114654541016,36.39874267578125
